company_name,description,category,location,source,cleaned_description,combined,cluster,cluster_name,cluster_quality,tags,startup_cluster,startup_cluster_name,startup_cluster_quality
Bird.i,market Construction stage Series A employees 11-50 location Glasgow,Construction,Glasgow,angellist,market construction stage series a employees 11 50 location glasgow,Bird.i market construction stage series a employees 11 50 location glasgow Construction,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
MDOps,market Artificial Intelligence stage Seed employees 1-10 location Melville,Artificial Intelligence,Melville,angellist,market artificial intelligence stage seed employees 1 10 location melville,MDOps market artificial intelligence stage seed employees 1 10 location melville Artificial Intelligence,4,BPO / Telecom / Retail Operations,mixed,AI,3,HealthTech Startups,mostly_clean
LotaData,market Geospatial stage  employees 1-10 location San Francisco,Geospatial,San Francisco,angellist,market geospatial stage employees 1 10 location san francisco,LotaData market geospatial stage employees 1 10 location san francisco Geospatial,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
SHEnetics,market Internet of Things stage Seed employees 1-10 location San Diego,Internet of Things,San Diego,angellist,market internet of things stage seed employees 1 10 location san diego,SHEnetics market internet of things stage seed employees 1 10 location san diego Internet of Things,4,BPO / Telecom / Retail Operations,mixed,Other,3,HealthTech Startups,mostly_clean
Clear,market Mobile Commerce stage  employees 11-50 location San Francisco,Mobile Commerce,San Francisco,angellist,market mobile commerce stage employees 11 50 location san francisco,Clear market mobile commerce stage employees 11 50 location san francisco Mobile Commerce,4,BPO / Telecom / Retail Operations,mixed,Marketplace,4,Developer Tools / Infra,mixed
iasqu,market Retail Technology stage  employees 1-10 location Hoboken,Retail Technology,Hoboken,angellist,market retail technology stage employees 1 10 location hoboken,iasqu market retail technology stage employees 1 10 location hoboken Retail Technology,4,BPO / Telecom / Retail Operations,mixed,AI,4,Developer Tools / Infra,mixed
Einsite,market Construction stage  employees 11-50 location San Francisco,Construction,San Francisco,angellist,market construction stage employees 11 50 location san francisco,Einsite market construction stage employees 11 50 location san francisco Construction,4,BPO / Telecom / Retail Operations,mixed,Other,4,Developer Tools / Infra,mixed
Finsophy PBC,market Banking stage  employees 1-10 location Charlotte,Banking,Charlotte,angellist,market banking stage employees 1 10 location charlotte,Finsophy PBC market banking stage employees 1 10 location charlotte Banking,4,BPO / Telecom / Retail Operations,mixed,Fintech,4,Developer Tools / Infra,mixed
ZoomThru,market Internet of Things stage Seed employees 1-10 location San Mateo,Internet of Things,San Mateo,angellist,market internet of things stage seed employees 1 10 location san mateo,ZoomThru market internet of things stage seed employees 1 10 location san mateo Internet of Things,4,BPO / Telecom / Retail Operations,mixed,HRTech,3,HealthTech Startups,mostly_clean
H-Science,market Medical Devices stage  employees 1-10 location New York City,Medical Devices,New York City,angellist,market medical devices stage employees 1 10 location new york city,H-Science market medical devices stage employees 1 10 location new york city Medical Devices,4,BPO / Telecom / Retail Operations,mixed,HealthTech,4,Developer Tools / Infra,mixed
